Rk,Wk,Date,Time,Day,Winner/Tie,WinnerPts,At,Loser/Tie,LoserPts,Notes
819,17,Dec 23 2013,2:00 PM,Mon,East Carolina,37,,Ohio,20,Beef O Brady`s Bowl - Tropicana Field St. Petersburg FL
820,18,Dec 24 2013,8:00 PM,Tue,Oregon State,38,,Boise State,23,Sheraton Hawaii Bowl - Hawaiian Airlines Field at Aloha Stadium Honolulu HI
821,18,Dec 26 2013,6:00 PM,Thu,Pittsburgh,30,,Bowling Green State,27,Little Caesars Pizza Bowl - Ford Field Detroit MI
822,18,Dec 26 2013,9:30 PM,Thu,Utah State,21,,(24) Northern Illinois,14,San Diego County Credit Union Poinsettia Bowl - Qualcomm Stadium San Diego CA
823,18,Dec 27 2013,2:30 PM,Fri,Marshall,31,,Maryland,20,Military Bowl - Navy-Marine Corp Memorial Stadium Annapolis MD
824,18,Dec 27 2013,6:00 PM,Fri,Syracuse,21,,Minnesota,17,Texas Bowl - Reliant Stadium Houston TX
825,18,Dec 27 2013,9:30 PM,Fri,Washington,31,,Brigham Young,16,Kraft Fight Hunger Bowl - AT&amp;T Park San Francisco CA
826,18,Dec 28 2013,10:15 PM,Sat,Kansas State,31,,Michigan,14,Buffalo Wild Wings Bowl - Sun Devil Stadium Tempe AZ
827,18,Dec 28 2013,6:45 PM,Sat,(18) Louisville,36,,Miami (FL),9,Russell Athletic Bowl - Florida Citrus Bowl Stadium Orlando FL
828,18,Dec 28 2013,3:20 PM,Sat,North Carolina,39,,Cincinnati,17,Belk Bowl - Bank of America Stadium Charlotte NC
829,18,Dec 28 2013,12:00 PM,Sat,(25) Notre Dame,29,,Rutgers,16,New Era Pinstripe Bowl - Yankee Stadium Bronx NY
830,19,Dec 30 2013,3:15 PM,Mon,Mississippi,25,,Georgia Tech,17,Franklin American Mortgage Music City Bowl - LP Field Nashville TN
831,19,Dec 30 2013,11:45 AM,Mon,Navy,24,,Middle Tennessee State,6,Bell Helicopter Armed Forces Bowl - Amon G. Carter Stadium Fort Worth TX
832,19,Dec 30 2013,6:45 PM,Mon,(10) Oregon,30,,Texas,7,Valero Alamo Bowl - Alamodome San Antonio TX
833,19,Dec 30 2013,10:15 PM,Mon,Texas Tech,37,,(16) Arizona State,23,National University Holiday Bowl - Qualcomm Stadium San Diego CA
834,20,Dec 31 2013,12:30 PM,Tue,Arizona,42,,Boston College,19,Advocare V100 Bowl - Independence Stadium Shreveport LA
835,20,Dec 31 2013,4:00 PM,Tue,Mississippi State,44,,Rice,7,AutoZone Liberty Bowl - Liberty Bowl Memorial Stadium Memphis TN
836,20,Dec 31 2013,8:00 PM,Tue,(20) Texas A&amp;M,52,,(22) Duke,48,Chick-fil-A Bowl - Georgia Dome Atlanta GA
837,20,Dec 31 2013,2:10 PM,Tue,(17) UCLA,42,,Virginia Tech,12,Hyundai Sun Bowl - Sun Bowl El Paso TX
838,20,Jan 1 2014,8:30 PM,Wed,(15) Central Florida,52,,(6) Baylor,42,Tostitos Fiesta Bowl - University of Phoenix Stadium Glendale AZ
839,20,Jan 1 2014,1:00 PM,Wed,(14) Louisiana State,21,,Iowa,14,Outback Bowl - Raymond James Stadium Tampa FL
840,20,Jan 1 2014,5:00 PM,Wed,(4) Michigan State,24,,(5) Stanford,20,Rose Bowl - Rose Bowl Pasadena CA
841,20,Jan 1 2014,12:00 PM,Wed,Nebraska,24,,(23) Georgia,19,TaxSlayer.com Gator Bowl - EverBank Field Jacksonville FL
842,20,Jan 1 2014,12:00 PM,Wed,North Texas,36,,Nevada-Las Vegas,14,Heart of Dallas Bowl - Cotton Bowl - Dallas TX
843,20,Jan 1 2014,1:00 PM,Wed,(8) South Carolina,34,,(19) Wisconsin,24,Capital One Bowl - Florida Citrus Bowl Orlando FL
844,20,Jan 2 2014,8:30 PM,Thu,(11) Oklahoma,45,,(3) Alabama,31,Allstate Sugar Bowl - Mercedes-Benz Superdome New Orleans LA
845,20,Jan 3 2014,8:30 PM,Fri,(12) Clemson,40,,(7) Ohio State,35,Discover Orange Bowl - Sun Life Stadium Miami Gardens FL
846,20,Jan 3 2014,8:10 PM,Fri,(9) Missouri,41,,(13) Oklahoma State,31,AT&amp;T Cotton Bowl Classic - AT&amp;T Stadium Arlington TX
847,20,Jan 4 2014,1:00 PM,Sat,Vanderbilt,41,,Houston,24,BBVA Compass Bowl - Legion Field Birmingham AL
848,20,Jan 5 2014,9:00 PM,Sun,Arkansas State,23,,Ball State,20,GoDaddy Bowl - Ladd-Peebles Stadium Mobile AL
849,20,Jan 6 2014,8:30 PM,Mon,(1) Florida State,34,,(2) Auburn,31,BCS National Championship Game - Rose Bowl Pasadena CA
